NAMA,NPWP,skala_usaha,nilai_transaksi,jumlah_transaksi,score
Alively,560072434970555,4,2009943835929,2123,28.91
Almost Cake,577386151060555,4,1103670166067,3138,32.15
Arise,560612589678555,4,2204565574929,9820,34.69
Artesia,565577961528555,4,4310267182894,23086,45.53
Bartoletti Mueller And Beahan,561909267976555,4,1485500597773,5514,20.05
Better Biscuit,560927286853555,4,6318048248636,14188,55.51
Big Squeeze,560977158960555,4,4553308962796,316936,56.99
Blue Flux,564796489986555,4,1433794686649,108425,39.88
Daniel Leuschke And Kerluke,565556155517555,4,1267695643069,3308,38.12
De Leen,563298980158556,4,1541396890869,669,25.14
Elumx,566883042256555,4,1843795365393,4377,39.67
Food Peprika,569408722960555,4,1680744551985,17086,26.12
Fresco,566816002068555,4,4720399968808,29195,38.22
Gothic Gas Mask,568465731960555,4,1960764665185,4027,41.83
Grady  Ziemann,258281786521555,4,7485570927214,1153,29.65
GrandmaS House,561945616063555,4,1114667546150,98089,51.62
Green Meadow,572114612073555,4,1101458655516,4495,26.93
Hansen  O'Hara,565157133509555,4,27681488239481,23181,55.60
Heidi Floss,868537637167555,4,1850014240993,6487,38.70
Hermaphrodent,562786466996555,4,2004545644888,17944,40.68
Hester,569815284996555,4,1181060025742,2305,22.36
Hey Low,574837438158555,4,3431430450942,7619,32.78
Idea Factor,566653825286555,4,1790775876139,2853,34.70
Ideaholic,560471752159555,4,1099059862919,1446,18.97
Jossver,560991445186555,4,1862107015446,119440,51.40
Joy,585738098058555,4,1745119730200,2773,28.28
Justcruze,575601716960555,4,12181720665207,74460,49.43
Maggio Inc,561974648502555,4,3545745215695,23333,34.65
Megapixel,578092515196555,4,1524265780784,1130,13.34
Miami,560845619406555,4,1588264778948,60,13.85
Mr Surely,577448290066555,4,3032955886110,5207,18.64
Murphy Llc,565562474509555,4,11143174820339,7390,23.06
Natural Silence,570920640286555,4,2209681823285,5662,26.45
Necking,562080518066555,4,1250939579208,7629,27.92
Nob Hill,566668579186555,4,6587726030001,22730,33.35
Opacify,565572539286555,4,2018371409080,5583,34.52
Parineet,566883034256555,4,1464266880401,1108,20.83
Pearl,573996037179555,4,1062656132557,5294,22.89
Phalanx,272994117198555,4,1084111093090,16716,40.98
Pink Pixel,570740428167555,4,1226038621468,12300,34.65
Piquant,566820945286555,4,4564046468873,6387,27.30
Piquing,570705217196555,4,1472133175229,3756,29.93
Plex,566653876286555,4,7613049272714,5525,22.26
Pretty Great,565177610270555,4,1847656734616,8334,30.90
Pure Penguin,266668232159555,4,3432797326067,9178,38.11
Pure Play,565557062270555,4,2805190694526,14410,34.46
Pylon Hose,560054515074555,4,1034463718511,3969,31.59
Quickie Lickie,563154544196555,4,1347300477210,6599,33.44
Quince,563854493066555,4,2697908154802,13220,30.69
Quipsters,208904147151555,4,2169109565357,732,18.29
Qurush,561641959167555,4,2967248527249,3160,25.82
Roof Rabbits,567864274159555,4,1076556883462,1419,21.69
Ryan Llc,563799088502555,4,7832720245171,3118,13.50
Sacrificial Limb,570445897409555,4,7861255611434,18049,46.27
Schmidt Schmidt And Kuhic,563370223678555,4,1130321507030,5273,38.49
Subtanct,565164624502555,4,1212535766640,33898,49.15
Sweetfeast,565563274509555,4,1206397419822,6843,70.09
The Sweet Tooth,360957432531555,4,1336643758280,5710,29.94
Tilboroo,565561342502555,4,6531192417137,57016,46.65
Tiny Scout,563374797502555,4,2963523102063,14049,39.26
Upbrite Lightings,571364566596555,4,2780657319836,16276,35.10
Uttwax,565156606502555,4,1203870558862,3708,41.64
Vivid,565575494516555,4,3008242518190,10109,46.45
White Synergy,565557054502555,4,2133631971722,5470,39.12
White Tree,565164576502555,4,11784560050082,7188,27.21
Who Cares,565552119574555,4,1830451721520,6675,28.96
Zydo Light,568688070583555,4,1250821555517,10663,40.42
A Slice,294983488907555,3,281347572664,9243,36.22
A Spoon,577174330670555,3,216560941667,9377,24.35
Aalishaan,562259049502555,3,129613307965,6116,35.87
Affection,567513440986555,3,117294794334,767,35.48
Afflx,567730317678555,3,245137653745,2359,26.50
Agro Acre,579687186987555,3,496547634954,7077,23.91
Agrozza,564192560670555,3,656223548266,19165,35.02
Allamino,577853176530555,3,206613108568,5782,54.18
Along,562932977670555,3,319394786508,6680,41.44
Amish  Arish,303800539063555,3,593685793471,2680,28.26
Aroha,562545134974555,3,303197851209,1073,36.18
Arrow Farm,569277996756555,3,454293899716,54121,42.79
Asher,569093284088555,3,249163978244,1274,28.36
Aspira,575175564886555,3,175353950081,2132,21.33
Basque Crust,566581208886555,3,654371528905,386,16.68
Batz  Leffler,565164865507555,3,193800073250,4781,41.06
Beer Trantow And Orn,563212880664555,3,192599782905,2145,25.15
Better Speakers,560540673980555,3,119252726279,68628,39.92
Bliss Pie,575760886981555,3,122101926265,325,31.66
Brave Wheel,569192423986555,3,153662710396,908,28.87
Bugbox,571073603886555,3,232205022571,1577,22.45
Butterball Cake,869222260969555,3,225799016980,5166,39.29
Caddy,861765351079555,3,114509040372,877,16.53
Cake Bundle,567550723763555,3,111208560240,1015,17.20
Callista,765912966066555,3,606351925812,8661,17.92
Cassey,571943419853555,3,838974801363,6094,36.13
Chirppy,566575327763555,3,556922021076,4937,31.03
